Time, Real_Position, Real_Velocity, Learned_Position, Learned_Velocity
1.571571469306945801e+00,-2.485955357551574707e-01,-7.522755861282348633e-01,-4.589480161666870117e-01,-3.174872994422912598e-01
1.581581473350524902e+00,-2.561258077621459961e-01,-7.427805066108703613e-01,-4.631164371967315674e-01,-3.030000329017639160e-01
1.591591477394104004e+00,-2.635610401630401611e-01,-7.331917285919189453e-01,-4.671056866645812988e-01,-2.885183095932006836e-01
1.601601600646972656e+00,-2.709003686904907227e-01,-7.235115766525268555e-01,-4.709158241748809814e-01,-2.740465104579925537e-01
1.611611604690551758e+00,-2.781427204608917236e-01,-7.137427330017089844e-01,-4.745468199253082275e-01,-2.595894932746887207e-01
1.621621608734130859e+00,-2.852872908115386963e-01,-7.038875818252563477e-01,-4.779987931251525879e-01,-2.451515495777130127e-01
1.631631612777709961e+00,-2.923332154750823975e-01,-6.939485669136047363e-01,-4.812719523906707764e-01,-2.307371497154235840e-01
1.641641616821289062e+00,-2.992796301841735840e-01,-6.839281916618347168e-01,-4.843664765357971191e-01,-2.163506895303726196e-01
1.651651620864868164e+00,-3.061257600784301758e-01,-6.738289594650268555e-01,-4.872826635837554932e-01,-2.019965350627899170e-01
1.661661624908447266e+00,-3.128708004951477051e-01,-6.636533141136169434e-01,-4.900208115577697754e-01,-1.876790225505828857e-01
1.671671628952026367e+00,-3.195139765739440918e-01,-6.534037590026855469e-01,-4.925813078880310059e-01,-1.734024435281753540e-01
1.681681632995605469e+00,-3.260545432567596436e-01,-6.430827379226684570e-01,-4.949645698070526123e-01,-1.591710448265075684e-01
1.691691637039184570e+00,-3.324918150901794434e-01,-6.326927542686462402e-01,-4.971711039543151855e-01,-1.449890285730361938e-01
1.701701641082763672e+00,-3.388250768184661865e-01,-6.222363114356994629e-01,-4.992014169692993164e-01,-1.308605670928955078e-01
1.711711645126342773e+00,-3.450536727905273438e-01,-6.117158532142639160e-01,-5.010561347007751465e-01,-1.167897880077362061e-01
1.721721649169921875e+00,-3.511769473552703857e-01,-6.011338829994201660e-01,-5.027358531951904297e-01,-1.027807593345642090e-01
1.731731653213500977e+00,-3.571943044662475586e-01,-5.904929041862487793e-01,-5.042412877082824707e-01,-8.883750438690185547e-02
1.741741657257080078e+00,-3.631051480770111084e-01,-5.797953605651855469e-01,-5.055731534957885742e-01,-7.496400922536849976e-02
1.751751661300659180e+00,-3.689089119434356689e-01,-5.690437555313110352e-01,-5.067322254180908203e-01,-6.116420775651931763e-02
1.761761665344238281e+00,-3.746050298213958740e-01,-5.582405328750610352e-01,-5.077193975448608398e-01,-4.744198918342590332e-02
1.771771669387817383e+00,-3.801930248737335205e-01,-5.473881363868713379e-01,-5.085355043411254883e-01,-3.380117937922477722e-02
1.781781673431396484e+00,-3.856723904609680176e-01,-5.364890694618225098e-01,-5.091814994812011719e-01,-2.024555951356887817e-02
1.791791677474975586e+00,-3.910426497459411621e-01,-5.255457758903503418e-01,-5.096583366394042969e-01,-6.778861396014690399e-03
1.801801681518554688e+00,-3.963033556938171387e-01,-5.145606398582458496e-01,-5.099670290946960449e-01,6.595239043235778809e-03
1.811811685562133789e+00,-4.014541208744049072e-01,-5.035361647605895996e-01,-5.101087093353271484e-01,1.987311616539955139e-02
1.821821689605712891e+00,-4.064945280551910400e-01,-4.924748241901397705e-01,-5.100844502449035645e-01,3.305120766162872314e-02
1.831831693649291992e+00,-4.114241898059844971e-01,-4.813790023326873779e-01,-5.098954439163208008e-01,4.612599685788154602e-02
1.841841816902160645e+00,-4.162428379058837891e-01,-4.702509939670562744e-01,-5.095428824424743652e-01,5.909418687224388123e-02
1.851851820945739746e+00,-4.209500551223754883e-01,-4.590934813022613525e-01,-5.090280175209045410e-01,7.195206731557846069e-02
1.861861824989318848e+00,-4.255455732345581055e-01,-4.479087293148040771e-01,-5.083521604537963867e-01,8.469645678997039795e-02
1.871871829032897949e+00,-4.300291538238525391e-01,-4.366991519927978516e-01,-5.075166225433349609e-01,9.732406586408615112e-02
1.881881833076477051e+00,-4.344005286693572998e-01,-4.254671633243560791e-01,-5.065228343009948730e-01,1.098316833376884460e-01
1.891891837120056152e+00,-4.386594593524932861e-01,-4.142151176929473877e-01,-5.053721666336059570e-01,1.222161352634429932e-01
1.901901841163635254e+00,-4.428057670593261719e-01,-4.029453694820404053e-01,-5.040661096572875977e-01,1.344743371009826660e-01
1.911911845207214355e+00,-4.468392431735992432e-01,-3.916603028774261475e-01,-5.026061534881591797e-01,1.466032415628433228e-01
1.921921849250793457e+00,-4.507597684860229492e-01,-3.803622722625732422e-01,-5.009938478469848633e-01,1.585998684167861938e-01
1.931931853294372559e+00,-4.545671939849853516e-01,-3.690536022186279297e-01,-4.992307722568511963e-01,1.704613119363784790e-01
1.941941857337951660e+00,-4.582614302635192871e-01,-3.577366173267364502e-01,-4.973185360431671143e-01,1.821847259998321533e-01
1.951951861381530762e+00,-4.618423879146575928e-01,-3.464136421680450439e-01,-4.952588081359863281e-01,1.937673091888427734e-01
1.961961865425109863e+00,-4.653099775314331055e-01,-3.350870013236999512e-01,-4.930532574653625488e-01,2.052063494920730591e-01
1.971971869468688965e+00,-4.686641991138458252e-01,-3.237589597702026367e-01,-4.907036423683166504e-01,2.164991945028305054e-01
1.981981873512268066e+00,-4.719050228595733643e-01,-3.124318122863769531e-01,-4.882116913795471191e-01,2.276432514190673828e-01
1.991991877555847168e+00,-4.750324785709381104e-01,-3.011077940464019775e-01,-4.855792224407196045e-01,2.386359870433807373e-01
2.002002000808715820e+00,-4.780465960502624512e-01,-2.897890508174896240e-01,-4.828080236911773682e-01,2.494750767946243286e-01
2.012012004852294922e+00,-4.809473752975463867e-01,-2.784780859947204590e-01,-4.799000024795532227e-01,2.601578831672668457e-01
2.022022008895874023e+00,-4.837349355220794678e-01,-2.671769857406616211e-01,-4.768570363521575928e-01,2.706821858882904053e-01
2.032032012939453125e+00,-4.864093661308288574e-01,-2.558879554271697998e-01,-4.736810326576232910e-01,2.810457348823547363e-01
2.042042016983032227e+00,-4.889708161354064941e-01,-2.446131706237792969e-01,-4.703739583492279053e-01,2.912463545799255371e-01
2.052052021026611328e+00,-4.914194047451019287e-01,-2.333548218011856079e-01,-4.669377803802490234e-01,3.012819290161132812e-01
2.062062025070190430e+00,-4.937552809715270996e-01,-2.221150696277618408e-01,-4.633745253086090088e-01,3.111504018306732178e-01
2.072072029113769531e+00,-4.959786534309387207e-01,-2.108960598707199097e-01,-4.596862196922302246e-01,3.208497762680053711e-01
2.082082033157348633e+00,-4.980897307395935059e-01,-1.996999233961105347e-01,-4.558749198913574219e-01,3.303781449794769287e-01
2.092092037200927734e+00,-5.000887513160705566e-01,-1.885287612676620483e-01,-4.519427418708801270e-01,3.397336602210998535e-01
2.102102041244506836e+00,-5.019759535789489746e-01,-1.773846745491027832e-01,-4.478917717933654785e-01,3.489145636558532715e-01
2.112112045288085938e+00,-5.037515759468078613e-01,-1.662697345018386841e-01,-4.437241554260253906e-01,3.579191267490386963e-01
2.122122049331665039e+00,-5.054159164428710938e-01,-1.551860123872756958e-01,-4.394420385360717773e-01,3.667457103729248047e-01
2.132132053375244141e+00,-5.069693326950073242e-01,-1.441355347633361816e-01,-4.350476264953613281e-01,3.753927648067474365e-01
2.142142057418823242e+00,-5.084121227264404297e-01,-1.331203281879425049e-01,-4.305430948734283447e-01,3.838587701320648193e-01
2.152152061462402344e+00,-5.097446441650390625e-01,-1.221423894166946411e-01,-4.259306788444519043e-01,3.921423256397247314e-01
2.162162065505981445e+00,-5.109673142433166504e-01,-1.112037077546119690e-01,-4.212126433849334717e-01,4.002420604228973389e-01
2.172172069549560547e+00,-5.120804905891418457e-01,-1.003062501549720764e-01,-4.163912236690521240e-01,4.081566929817199707e-01
2.182182073593139648e+00,-5.130845308303833008e-01,-8.945195376873016357e-02,-4.114687144756317139e-01,4.158850014209747314e-01
2.192192077636718750e+00,-5.139799714088439941e-01,-7.864274829626083374e-02,-4.064474105834960938e-01,4.234258234500885010e-01
